,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
485,8.13E+17,8.13E+17,12/26/2016,notsoproudyank,"? Today eat healthy food, remember your accomplishments, get some exercise, hang w/ good people & don't be hard on yourself.",['#depressed'],"#Depressed? Today eat healthy food, remember your accomplishments, get some exercise, hang w/ good people & don't be hard on yourself.",0
487,8.13E+17,8.13E+17,12/26/2016,jones_itfc,Possibly the worst 90 min commentary I've sat through. The only consolation is not having a 225 mile drive home.  ,"['#depressed', '#itfc']",Possibly the worst 90 min commentary I've sat through. The only consolation is not having a 225 mile drive home. #depressed #itfc,0
488,8.13E+17,8.13E+17,12/26/2016,rubinakhan10,When your family emotional blackmail you to do something against your will.     ,"['#youarescrewed', '#depressed', '#realitycheck']",When your family emotional blackmail you to do something against your will.   #youarescrewed #depressed #realitycheck,0
491,8.13E+17,8.13E+17,12/26/2016,eesha1617,Need to get out of this godforsaken place  ,['#depressed'],Need to get out of this godforsaken place  #depressed,1
505,8.13E+17,8.13E+17,12/26/2016,mykantvdd,I feel like I'm waiting for something that isn't going happen.    pic.twitter.com/duO3xqIPNE,"['#anxiety', '#depressed']",I feel like I'm waiting for something that isn't going happen. #anxiety #depressed  pic.twitter.com/duO3xqIPNE,1
506,8.13E+17,8.13E+17,12/26/2016,andrix_exe,one sec ur  and the other ur ,"['#blessed', '#depressed']",one sec ur #blessed and the other ur #depressed,1
510,8.13E+17,8.13E+17,12/26/2016,ebook_the_grugq,"how they seemed to be trying to get people who ask me to block them, but I'm guessing it would be more like ",['#depressed'],"how they seemed to be trying to get people who ask me to block them, but I'm guessing it would be more like #depressed",0
511,8.13E+17,8.13E+17,12/26/2016,pun_dragon_,??íïyou are supported ??íï    pic.twitter.com/4YrE8XNRtQ,"['#depressed', '#depression', '#anxiety']",??íïyou are supported ??íï #depressed #depression #anxiety pic.twitter.com/4YrE8XNRtQ,0
522,8.13E+17,8.13E+17,12/26/2016,diksha_m,  another great talent lost to us. songs stay with us forever. Odd but last Christmas playing everywhere this yr.,"['#ripgeorgemichael', '#depressed']",#ripgeorgemichael #depressed another great talent lost to us. songs stay with us forever. Odd but last Christmas playing everywhere this yr.,0
523,8.13E+17,8.13E+17,12/26/2016,blw21,When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again ,['#depressed'],When your scares get re opened an its like pooring salt in them. I hate this feeling. All the pain im in again #depressed,1
533,8.13E+17,8.13E+17,12/26/2016,stupid_dev,everything is coming back to me all of a sudden. This ... is not a good feeling at all   ,"['#slightly', '#depressed', '#needtogetagrip']",everything is coming back to me all of a sudden. This ... is not a good feeling at all #slightly #depressed #needtogetagrip,1
537,8.13E+17,8.13E+17,12/26/2016,mikeofkorea,"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. ",['#depressed'],"Had to listen to someone tell me how wonderful his Christmas was, dinner, games, etc. Then he asked about mine. #depressed",1
540,8.13E+17,8.13E+17,12/26/2016,vinceortega,!!   2016 officially the worst year in history!!! ,"['#georgemichael', '#depressed']",#GeorgeMichael!!   2016 officially the worst year in history!!! #Depressed,0
542,8.13E+17,8.13E+17,12/25/2016,alexjmcguinness,"Over the past 2 days I've drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco.  ","['#depression', '#depressed']","Over the past 2 days I've drank 27 bottles of beer, 2 pints of cider and half a bottle of prosecco. #depression #depressed",1
543,8.13E+17,8.13E+17,12/25/2016,onelinewhip,Only the insecure withhold praise of another's achievements     ,"['#depressed', '#insecurity', '#compliment']",Only the insecure withhold praise of another's achievements   #depressed #insecurity #compliment,0
544,8.13E+17,8.13E+17,12/25/2016,billysigudla,Does anyone else feel really weird at night time on christmas day? Like it's over after all that fuss n it's just GONE ??? ,['#depressed'],Does anyone else feel really weird at night time on christmas day? Like it's over after all that fuss n it's just GONE ??? #Depressed,0
552,8.13E+17,8.13E+17,12/25/2016,isdrowningg,Ive no one to talk to at this hour.  ,"['#depressed', '#insomnia']",Ive no one to talk to at this hour. #depressed #insomnia,1
555,8.13E+17,8.13E+17,12/25/2016,epicureben,Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,"['#depressed', '#betterdoshit']",Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has! #depressed #betterdoshit,0
556,8.13E+17,8.13E+17,12/25/2016,4everprettytye,I'm ready to jus turn my phone off ????,['#depressed'],I'm ready to jus turn my phone off #depressed????,0
557,8.13E+17,8.13E+17,12/25/2016,peanut_the_fox,I love Christmas but this year it just isn't the same... I can't figure out what it is either... ,['#depressed'],I love Christmas but this year it just isn't the same... I can't figure out what it is either... #Depressed,0
558,8.13E+17,8.13E+17,12/25/2016,anarchy_erik,I use this social media outlet to bitch. It's my bitching platform. I'm quiet on everything else. It's not like anyone cares. ,['#depressed'],I use this social media outlet to bitch. It's my bitching platform. I'm quiet on everything else. It's not like anyone cares. #depressed,0
559,8.13E+17,8.13E+17,12/25/2016,pianostudioba,Making  might help lift more  people out of the dumps than common antidepressant medications do,"['#music', '#depressed']",Making #music might help lift more #depressed people out of the dumps than common antidepressant medications do,0
564,8.13E+17,8.13E+17,12/25/2016,tripwmebitch,I don't know why but I'm suddenly very  ????,['#depressed'],I don't know why but I'm suddenly very #depressed ????,1
565,8.13E+17,8.13E+17,12/25/2016,bigphilwilson,"Gutted ,my slipped disk decided to come back last night,led in bed on Christmas Day while my family having fun downstairs  ","['#joinin', '#depressed']","Gutted ,my slipped disk decided to come back last night,led in bed on Christmas Day while my family having fun downstairs #JoinIn #depressed",1
566,8.13E+17,8.13E+17,12/25/2016,missdefleurs,I dont usually feel much...but when i do...it sucks so much   ,"['#depressed', '#merrychristmastome', '#needalifehack']",I dont usually feel much...but when i do...it sucks so much #depressed #MerryChristmasToMe #needalifehack,1
569,8.13E+17,8.13E+17,12/25/2016,bhagya4347,Back to the same stage where I was once in the month of May-June!   I wish I could delete year 2016 forever!,"['#depressed', '#fightingwithmyself']",Back to the same stage where I was once in the month of May-June! #Depressed #FightingWithMySelf I wish I could delete year 2016 forever!,1
573,8.13E+17,8.13E+17,12/25/2016,strugglingdad76,Christmas Day meltdown. An hour of arguing in the street while trying to walk to lunch at her parents. ,['#depressed'],Christmas Day meltdown. An hour of arguing in the street while trying to walk to lunch at her parents. #depressed,0
578,8.13E+17,8.13E+17,12/25/2016,pickers1994,For all the years I took the lynx box sets for granted and this year I didn't get one ???¢???Ç ,['#depressed'],For all the years I took the lynx box sets for granted and this year I didn't get one ???¢???Ç #depressed,0
587,8.13E+17,8.13E+17,12/25/2016,pun_dragon_,??íïyour views are valid??íï    pic.twitter.com/u2CjqKMTlx,"['#depressed', '#depression', '#anxiety']",??íïyour views are valid??íï #depressed #depression #anxiety pic.twitter.com/u2CjqKMTlx,0
589,8.13E+17,8.13E+17,12/25/2016,itz_drew22,Family when one is missing holidays dont feel right.   ,"['#depressed', '#missingmysister', '#fuckmydad']",Family when one is missing holidays dont feel right. #depressed #missingmysister #fuckmydad,0
591,8.13E+17,8.13E+17,12/25/2016,clausenkim,I wish I wasn't so emotionally all over the place. I feel bad 4 people who have 2 deal with me. I'm such a fuck up... ???£  ,"['#stupid', '#depressed']",I wish I wasn't so emotionally all over the place. I feel bad 4 people who have 2 deal with me. I'm such a fuck up... ???£ #stupid #depressed,1
597,8.13E+17,8.13E+17,12/25/2016,b_banth,User of  unable to think clearly or retain that was learned & will probably be quite . He may suffer periods of .,"['#ketamine', '#depressed', '#amnesia']",User of #ketamine unable to think clearly or retain that was learned & will probably be quite #depressed. He may suffer periods of #amnesia.,0
603,8.13E+17,8.13E+17,12/25/2016,cairo77,I hate that I can't get everyone in my family a gift but I'm on a fixed income ???¢   ,"['#sad', '#depressed', '#poor']",I hate that I can't get everyone in my family a gift but I'm on a fixed income ???¢ #sad #depressed #poor,0
605,8.13E+17,8.13E+17,12/25/2016,bossmaynelilah,When all you want to do is spend Christmas w. Your husband & mommy but none of that is possible so I'll drink for the next 2 days ,['#depressed'],When all you want to do is spend Christmas w. Your husband & mommy but none of that is possible so I'll drink for the next 2 days #Depressed,0
606,8.13E+17,8.13E+17,12/25/2016,j_adams013,I can't even turn up for the holidays  ,['#depressed'],I can't even turn up for the holidays  #depressed,0
607,8.13E+17,8.13E+17,12/25/2016,alexjmcguinness,I've had 18 beers today and I'm going to have more. It's gonna be a long day  ,"['#depression', '#depressed']",I've had 18 beers today and I'm going to have more. It's gonna be a long day #depression #depressed,1
608,8.13E+17,8.13E+17,12/25/2016,p11secrets2,I know Christmas isn't about gifts but honestly I got my sister a tablet and she got me a ring light for my phone ???§???£   #,"['#depressed', '#christmas']",I know Christmas isn't about gifts but honestly I got my sister a tablet and she got me a ring light for my phone ???§???£ #depressed #Christmas #,0
611,8.13E+17,8.13E+17,12/25/2016,lxmackeigan,): it's not xmas eve w/o you boo @_BTSophie ,['#depressed'],): it's not xmas eve w/o you boo @_BTSophie #depressed,0
612,8.13E+17,8.13E+17,12/25/2016,truckerjohn718,In the gym trying to clear my mind. ,['#depressed'],In the gym trying to clear my mind. #depressed,0
613,8.13E+17,8.13E+17,12/25/2016,dr_jay0052,Talk about a roller coaster season. ,['#depressed'],Talk about a roller coaster season. #Depressed,0
614,8.13E+17,8.13E+17,12/24/2016,alexjmcguinness,I'm on my 14th or 15th beer now. God I'm so alone please let me die. ‚?π??î´  ,"['#depression', '#depressed']",I'm on my 14th or 15th beer now. God I'm so alone please let me die. ‚?π??î´ #depression #depressed,1
617,8.13E+17,8.13E+17,12/24/2016,davereadle,For those feeling   or  during this festive period feel free to reach out. Here to listen ??ëç??èª,"['#lonely', '#alone', '#depressed']",For those feeling #lonely #alone or #depressed during this festive period feel free to reach out. Here to listen ??ëç??èª,0
621,8.13E+17,8.13E+17,12/24/2016,chelsiedwards,I thought nothing bad happened on Christmas Eve!!!!   ,"['#mariota', '#thisisus', '#depressed']",I thought nothing bad happened on Christmas Eve!!!! #mariota #ThisIsUs #depressed,0
622,8.13E+17,8.13E+17,12/24/2016,mindfecker,Really thinking about killing myself now   ,"['#depressed', '#rip', '#nolife']",Really thinking about killing myself now #depressed #rip #nolife,1
631,8.13E+17,8.13E+17,12/24/2016,vladdytrout,Realized that not ever having children has made me .,['#depressed'],Realized that not ever having children has made me #depressed.,1
637,8.13E+17,8.13E+17,12/24/2016,mikaeluhtio,Completely sick ??§í On my way to the hospital instead of a Christmas party ???ß  ,"['#alone', '#depressed']",Completely sick ??§í On my way to the hospital instead of a Christmas party ???ß #alone #depressed,0
643,8.13E+17,8.13E+17,12/24/2016,nipplelesslv,"I know I sound like ,  hot mess. But I just don't know I am related to such mean .","['#depressed', '#suicidal', '#spirits']","I know I sound like #depressed, #suicidal hot mess. But I just don't know I am related to such mean #spirits.",1
647,8.13E+17,8.13E+17,12/24/2016,doc_rna,Moto x play showed software update but only security update(66mb) ...no  .. ,"['#nougat', '#depressed', '#angry']",Moto x play showed software update but only security update(66mb) ...no #Nougat ..#depressed #angry,0
650,8.13E+17,8.13E+17,12/24/2016,nikoleraeee,Aw man im outta pizza rolls ,['#depressed'],Aw man im outta pizza rolls #depressed,0
651,8.13E+17,8.13E+17,12/24/2016,pun_dragon_,??íïit will be ok??íï    pic.twitter.com/6zCi1PJhdB,"['#depressed', '#depression', '#anxiety']",??íïit will be ok??íï #depressed #depression #anxiety pic.twitter.com/6zCi1PJhdB,0
652,8.13E+17,8.13E+17,12/24/2016,lltspo,i am so sorry this happiness came about rather unexpectedly ill try to keep my 11:11 tweets more  from now on,['#depressed'],i am so sorry this happiness came about rather unexpectedly ill try to keep my 11:11 tweets more #depressed from now on,0
658,8.13E+17,8.13E+17,12/24/2016,kmutolation,I had no idea a peanut butter milk shake was an option ,['#depressed'],I had no idea a peanut butter milk shake was an option #depressed,0
660,8.13E+17,8.13E+17,12/24/2016,cubshawks88197,Bruno Mars' 24K but instead of  it's  ,"['#blessed', '#depressed', '#aboutme']",Bruno Mars' 24K but instead of #blessed it's #depressed #aboutme,0
661,8.13E+17,8.13E+17,12/24/2016,howeeehh,Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,['#depressed'],Then come Jan 1 #Depressed. Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,0
679,8.12E+17,8.12E+17,12/23/2016,alexjmcguinness,I dont know how many beers I've had and I dont know how many more im going to have all I know is im getting drunk  ,"['#depression', '#depressed']",I dont know how many beers I've had and I dont know how many more im going to have all I know is im getting drunk #depression #depressed,1
694,8.12E+17,8.12E+17,12/23/2016,charrkornegay,Going through the clothes I brought home and realize I left my one great pair of jeans in Wilm ,['#depressed'],Going through the clothes I brought home and realize I left my one great pair of jeans in Wilm #depressed,0
699,8.12E+17,8.12E+17,12/23/2016,ayannone71,"How can someone be happy at xmas, when you can't be with the ones you love?   ","['#depressed', '#holidayblues']","How can someone be happy at xmas, when you can't be with the ones you love?  #depressed #holidayblues",1
706,8.12E+17,8.12E+17,12/23/2016,tylipp,just ripped my favorite pair of pajama pants.   ,"['#thankssatan', '#merrychristmas', '#depressed']",just ripped my favorite pair of pajama pants. #ThanksSatan #Merrychristmas #depressed,0
708,8.12E+17,8.12E+17,12/23/2016,xiinxs,Still can't fit any of my jeans. ,['#depressed'],Still can't fit any of my jeans. #depressed,0
714,8.12E+17,8.12E+17,12/23/2016,x_paigetucker,Why do work keep giving me alcohol!!! ???´???´   pic.twitter.com/rIydwINNkn,['#depressed'],Why do work keep giving me alcohol!!! ???´???´ #depressed  pic.twitter.com/rIydwINNkn,0
717,8.12E+17,8.12E+17,12/23/2016,cycromorpt,slowly your heart peeled off itself...  ,"['#depressed', '#sad']",slowly your heart peeled off itself... #depressed #sad,0
718,8.12E+17,8.12E+17,12/23/2016,fuelyourcore,"If u r , u r living n the past. If u r anxious, u r living n the future. If u r @ peace, u r living n the present-Lao Tzu ","['#depressed', '#mindset']","If u r #depressed, u r living n the past. If u r anxious, u r living n the future. If u r @ peace, u r living n the present-Lao Tzu #Mindset",0
723,8.12E+17,8.12E+17,12/23/2016,thegrugq_ebooks,"yeah, external power structures, and there for, ultimately, about 500L, but I'm guessing it would be more like ",['#depressed'],"yeah, external power structures, and there for, ultimately, about 500L, but I'm guessing it would be more like #depressed",0
725,8.12E+17,8.12E+17,12/23/2016,kendrybird,"Love you all tonight. If the holiday makes u feel  or lonely & u need someone to talk to, tweet me. I'll open my inbox for you. <3",['#depressed'],"Love you all tonight. If the holiday makes u feel #depressed or lonely & u need someone to talk to, tweet me. I'll open my inbox for you. <3",0
730,8.12E+17,8.12E+17,12/23/2016,sabribriig,It just hit me that Ms lopez isn't gonna be my teacher anymore ???≠???≠ ,['#depressed'],It just hit me that Ms lopez isn't gonna be my teacher anymore ???≠???≠ #Depressed,0
731,8.12E+17,8.12E+17,12/23/2016,pun_dragon_,??íïyou are loved ??íï    pic.twitter.com/iV1owHaj1Q,"['#depressed', '#depression', '#anxiety']",??íïyou are loved ??íï #depressed #depression #anxiety pic.twitter.com/iV1owHaj1Q,0
736,8.12E+17,8.12E+17,12/23/2016,aloofobserver,"When I was a little boy, I never dreamed I'd end up like this.  .",['#depressed'],"When I was a little boy, I never dreamed I'd end up like this.  #depressed.",1
737,8.12E+17,8.12E+17,12/23/2016,strugglingdad76,"It is 4:30 AM, crying baby since 1 and my missus is tucked up in bed with earplugs. Not her problem...   ","['#exhausted', '#depressed', '#struggling']","It is 4:30 AM, crying baby since 1 and my missus is tucked up in bed with earplugs. Not her problem... #exhausted #depressed #struggling",0
741,8.12E+17,8.12E+17,12/23/2016,karnikakapoor,I think my habit of reading  with morning  is the root cause of the  feeling throughout the day! specially in 2016,"['#news', '#coffee', '#depressed']",I think my habit of reading #news with morning #coffee is the root cause of the #depressed feeling throughout the day! specially in 2016,1
744,8.12E+17,8.12E+17,12/23/2016,lydiaa1614,You know things are bad when your emotions slide because WordPress blocks one of your blog posts.  ,"['#bipolar', '#chronicpain', '#depressed']",You know things are bad when your emotions slide because WordPress blocks one of your blog posts.#bipolar #chronicpain #depressed,0
748,8.12E+17,8.12E+17,12/22/2016,pizzaboii16,very depressed rn... just got done crying my eyes out again:/ but feeling very masculine rn...    pic.twitter.com/nLb1sEozuU,"['#depressed', '#masculine', '#transisbeautiful']",very depressed rn... just got done crying my eyes out again:/ but feeling very masculine rn... #depressed #masculine #transisbeautiful pic.twitter.com/nLb1sEozuU,1
752,8.12E+17,8.12E+17,12/22/2016,hailzzzzzzzzzzz,Finished gossip girl. Feeling   & ,"['#sad', '#depressed', '#doublesad']",Finished gossip girl. Feeling #SAD #DEPRESSED & #DOUBLESAD,0
757,8.12E+17,8.12E+17,12/22/2016,duplantis_faith,LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,['#depressed'],LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( #depressed,0
762,8.12E+17,8.12E+17,12/22/2016,anymo88,It's time like this that the lord is testing me and I just want give up. Just kill me now!   ,"['#disappointed', '#depressed', '#icant']",It's time like this that the lord is testing me and I just want give up. Just kill me now! #disappointed #depressed #ICant,1
765,8.12E+17,8.12E+17,12/22/2016,bl0ndie_227,First Christmas in YEARS that I have to work.  it just doesn't feel the same.,['#depressed'],First Christmas in YEARS that I have to work. #Depressed it just doesn't feel the same.,0
771,8.12E+17,8.12E+17,12/22/2016,giovanni979917,I cant wait to disappear and get forgotten.???î ,['#depressed'],I cant wait to disappear and get forgotten.???î #depressed,1
774,8.12E+17,8.12E+17,12/22/2016,bon_comics,I'm  the same way the Jews were depressed right before they LEFT  !!!,"['#depressed', '#egypt']",I'm #depressed the same way the Jews were depressed right before they LEFT #EGYPT !!!,1
776,8.12E+17,8.12E+17,12/22/2016,rome_reporter,When your idol Julius is murdered by senators... ,['#depressed'],When your idol Julius is murdered by senators... #depressed,0
782,8.12E+17,8.12E+17,12/22/2016,iepidemic99,Woke up feeling  AF. Okay. Guess that's how today is gonna be.,['#depressed'],Woke up feeling #depressed AF. Okay. Guess that's how today is gonna be.,1
785,8.12E+17,8.12E+17,12/22/2016,kazooq,  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,['#depressed'],#depressed  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1
786,8.12E+17,8.12E+17,12/22/2016,fcknggrumpy,My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago ,['#depressed'],My sister is having an emotional breakdown about aging and death. Something she didn't take me seriously about a few months ago #depressed,1
791,8.12E+17,8.12E+17,12/22/2016,skargrim94,"People bring you down. Love fails from time to time. You get lost, then can't find your way.   ","['#lost', '#depressed', '#lonely']","People bring you down. Love fails from time to time. You get lost, then can't find your way. #lost #depressed #lonely",0
793,8.12E+17,8.12E+17,12/22/2016,kai_w3nn,How would you feel if your parents were to argue each and every single day?  ,"['#fuckedup', '#depressed']",How would you feel if your parents were to argue each and every single day? #Fuckedup #depressed,1
803,8.12E+17,8.12E+17,12/22/2016,pun_dragon_,??íïyou are valid??íï     pic.twitter.com/YlAjyOLfaU,"['#depression', '#anxiety', '#depressed']",??íïyou are valid??íï #depression #anxiety #depressed  pic.twitter.com/YlAjyOLfaU,0
809,8.12E+17,8.12E+17,12/22/2016,fatesfoe,One step forward multiple steps back. Still no idea what I can do about it. ,['#depressed'],One step forward multiple steps back. Still no idea what I can do about it. #depressed,1
811,8.12E+17,8.12E+17,12/22/2016,likeemikee_,Applied to 5 universities already. Now I need my Fasfa and scholarship letters ,['#depressed'],Applied to 5 universities already. Now I need my Fasfa and scholarship letters #depressed,1
813,8.12E+17,8.12E+17,12/22/2016,kristalynn09,A UK loss to Louisville makes my heart hurt.  ,"['#depressed', '#goodthingimonvacationtomorrow']",A UK loss to Louisville makes my heart hurt. #depressed #goodthingimonvacationtomorrow,0
818,8.12E+17,8.12E+17,12/22/2016,alex_emopanda,"When you text your mom ""there's something wrong with me"" and she don't answer :) ",['#depressed'],"When you text your mom ""there's something wrong with me"" and she don't answer :) #depressed",0
821,8.12E+17,8.12E+17,12/21/2016,roufi_,"People change for 2 reasons: 1-They have learned a lot, or they have been hurt too many times  ","['#cry', '#depressed']","People change for 2 reasons: 1-They have learned a lot, or they have been hurt too many times #cry #depressed",0
824,8.12E+17,8.12E+17,12/21/2016,reyamxx,"I'd never actually watched the whole of Ugly Betty,so I watched it all & now I'm depressed,I need an ending! ???≠  ","['#uglybetty', '#crying', '#depressed']","I'd never actually watched the whole of Ugly Betty,so I watched it all & now I'm depressed,I need an ending! ???≠#uglybetty #crying #depressed",0
832,8.12E+17,8.12E+17,12/21/2016,cjux,Before you diagnose yourself as  make sure your not surrounded by assholes - William Gibson,['#depressed'],Before you diagnose yourself as #Depressed make sure your not surrounded by assholes - William Gibson,0
833,8.12E+17,8.12E+17,12/21/2016,maria__hossain,Relative of a neighbor of mine died in accident while shopping for and on his little girl's birthday...Really?   ????????,"['#lifeissadistic', '#depressed']",Relative of a neighbor of mine died in accident while shopping for and on his little girl's birthday...Really? #LifeIsSadistic #depressed ????????,0
835,8.12E+17,8.12E+17,12/21/2016,jontewilliams_d,My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP ,['#depressed'],My best friend died 10 years ago on this day in a car crash. Y after 10 years is it still killing me. Literally torn up Need HELP #depressed,1
837,8.12E+17,8.12E+17,12/21/2016,bigroadhog,I feel bad no money for gifts for anyone I pay my bills money is gone   ,"['#depressed', '#godsnotdead', '#1love1wayjesus']",I feel bad no money for gifts for anyone I pay my bills money is gone #depressed #GodsNotDead #1love1wayJesus,0
838,8.12E+17,8.12E+17,12/21/2016,mrsmorganferrer,Being extremely  over my other half agreeing to divorce instead of coming to peace then someone asks if I'm okay....  pic.twitter.com/fgpQKQwhYw,['#depressed'],Being extremely #depressed over my other half agreeing to divorce instead of coming to peace then someone asks if I'm okay....  pic.twitter.com/fgpQKQwhYw,1
840,8.12E+17,8.12E+17,12/21/2016,kileyjenae,i ran out of hot chocolate and now i'm never going to get out of bed  :(,['#depressed'],i ran out of hot chocolate and now i'm never going to get out of bed #depressed :(,0
855,8.12E+17,8.12E+17,12/21/2016,jannatulsanam,I'm stuck in a situation ! Wanna get rid of this but ways are closed ! Trapped !     ,"['#thoughtfortheday', '#depressed', '#lifeiscomplicated']",I'm stuck in a situation ! Wanna get rid of this but ways are closed ! Trapped !   #ThoughtForTheDay #Depressed #LifeIsComplicated,0
856,8.12E+17,8.12E+17,12/21/2016,tonidoran,"Everyone writing ""1 more day"" and I'm on right up until Christmas Eve ‚?πÔ∏è ",['#depressed'],"Everyone writing ""1 more day"" and I'm on right up until Christmas Eve ‚?πÔ∏è #depressed",0
859,8.12E+17,8.12E+17,12/21/2016,jaronaworth,Still haven't get a chance to watch Sing. :< .,['#depressed'],Still haven't get a chance to watch Sing. :< #depressed.,0
861,8.12E+17,8.12E+17,12/21/2016,seokjinbbuing,ok im running out of steam because god im feeling so  this morning,['#depressed'],ok im running out of steam because god im feeling so #depressed this morning,1
866,8.12E+17,8.12E+17,12/21/2016,twins_germany,Thank god the last presentation is over! ‚úå tomorrow is our last day at uni this year. We really need a few days off.  ,"['#stressed', '#depressed']",Thank god the last presentation is over! ‚úå tomorrow is our last day at uni this year. We really need a few days off. #stressed #depressed,1
868,8.11E+17,8.11E+17,12/21/2016,pun_dragon_,??íïyou are beautiful ??íï    pic.twitter.com/btElQogRXD,"['#depressed', '#depression', '#anxiety']",??íïyou are beautiful ??íï #depressed #depression #anxiety pic.twitter.com/btElQogRXD,0
873,8.11E+17,8.11E+17,12/21/2016,dharamvirtanwar,You are sitting in solitude alone & smoking ............ I know you are sad &  ........but DONT SMOKE BABY  pic.twitter.com/auCoNMXY0m,['#depressed'],You are sitting in solitude alone & smoking ............ I know you are sad & #depressed ........but DONT SMOKE BABY  pic.twitter.com/auCoNMXY0m,0
876,8.11E+17,8.11E+17,12/21/2016,kwinbiatch,"Depression is like, you don't want to do anything. Or you want to do something, but you don't want to do it (at the same time). ",['#depressed'],"Depression is like, you don't want to do anything. Or you want to do something, but you don't want to do it (at the same time). #depressed",0
880,8.11E+17,8.11E+17,12/21/2016,likeemikee_,I'm like 80% with college bull shit ,['#depressed'],I'm like 80% with college bull shit #depressed,0
881,8.11E+17,8.11E+17,12/21/2016,mandiistar96,Have u ever felt so  u feel like u have to throw up 24/7 ????,['#depressed'],Have u ever felt so #depressed u feel like u have to throw up 24/7 ????,1
882,8.11E+17,8.11E+17,12/21/2016,daisss23,I have 2 cuts on my lips and I can't eat spicy food b/c it burns  :'/,['#depressed'],I have 2 cuts on my lips and I can't eat spicy food b/c it burns #depressed :'/,0
887,8.11E+17,8.11E+17,12/21/2016,aidan9876,Is you're  you might have a problem with someone close to you.,['#depressed'],Is you're #depressed you might have a problem with someone close to you.,0
889,8.11E+17,8.11E+17,12/21/2016,tourturedbeing,I feel so   and a tad  but I'm afraid to call a friend :(,"['#depressed', '#overwhelmed', '#suicidal']",I feel so #depressed #overwhelmed and a tad #suicidal but I'm afraid to call a friend :(,1
890,8.11E+17,8.11E+17,12/21/2016,flcl_dre,Missing San Francisco bit my sister is helping a bit to make me forget about it. ,['#depressed'],Missing San Francisco bit my sister is helping a bit to make me forget about it. #depressed,0
891,8.11E+17,8.11E+17,12/20/2016,pastor_paul,Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask  ,"['#depressed', '#lonely']",Hard to believe right now BUT there's a World waiting for your contribution-JesusChristWillHelpYouAccomplishYourDream-Ask #depressed #lonely,0
895,8.11E+17,8.11E+17,12/20/2016,smart_charactor,"Sad day here in Cometland, school is closed for a few weeks  ","['#depressed', '#stillstudying']","Sad day here in Cometland, school is closed for a few weeks #depressed #StillStudying",0
899,8.11E+17,8.11E+17,12/20/2016,wingtorn,11 more  til I can stop feeling  I hate ,"['#days', '#depressed', '#december']",11 more #days til I can stop feeling #depressed I hate #December,0
905,8.11E+17,8.11E+17,12/20/2016,tonyzolanski,Everyday I can't wait to sleep ,['#depressed'],Everyday I can't wait to sleep #depressed,1
909,8.11E+17,8.11E+17,12/20/2016,camilla89295777,YouHaveToStudyWorkHardajajkskanakaoanakaa aaaaand BOOMSHAKALAKAAAA ??ôÉ??ôÉ   but ,"['#stressed', '#depressed', '#welldressed']",YouHaveToStudyWorkHardajajkskanakaoanakaa aaaaand BOOMSHAKALAKAAAA ??ôÉ??ôÉ #stressed #depressed but #welldressed,0
916,8.11E+17,8.11E+17,12/20/2016,alecia1989,I miss you so much!! I can't wait for you to be back home!! ,['#depressed'],I miss you so much!! I can't wait for you to be back home!! #depressed,0
919,8.11E+17,8.11E+17,12/20/2016,alexjmcguinness,"Maybe I should hang myself with the Christmas lights, there's a nice image for you. Tis the season after all.   ","['#depression', '#depressed']","Maybe I should hang myself with the Christmas lights, there's a nice image for you. Tis the season after all.  #depression #depressed",0
920,8.11E+17,8.11E+17,12/20/2016,tinysmolbean,"Why am i so  today,  everywhere!","['#depressed', '#emotions']","Why am i so #depressed today, #emotions everywhere!",1
922,8.11E+17,8.11E+17,12/20/2016,holden_c19,"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I don't seem to think is very bad. Whatever tho ",['#depressed'],"This day ended poorly. i ended up calling Sally a ""royal pain in the ass"" which I don't seem to think is very bad. Whatever tho #depressed",1
924,8.11E+17,8.11E+17,12/20/2016,sicknotweak,A.M. choice if you're mentally well: What clothes should I wear? A.M. choice if you're : What mask should I wear? ,"['#depressed', '#sicknotweak']",A.M. choice if you're mentally well: What clothes should I wear? A.M. choice if you're #depressed: What mask should I wear? #SickNotWeak,0
925,8.11E+17,8.11E+17,12/20/2016,hamlettheprinc,Why must my mother marry this man  ,"['#depressed', '#incest']",Why must my mother marry this man #Depressed #Incest,1
